service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
master (Compute Engine),N2 Instance Core running in EMEA,20.0,europe-west1,6F81-5844-456A,9F61-45D7-D4FB,0.69546,
master (Compute Engine),N2 Instance Ram running in EMEA,80.0,europe-west1,6F81-5844-456A,A109-54C1-7CB0,0.37288,
master (Compute Engine),Balanced PD Capacity,10.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,1,
memcached (Compute Engine),E2 Instance Core running in EMEA,20.0,europe-west1,6F81-5844-456A,9FE0-8F60-A9F0,0.47987,
memcached (Compute Engine),E2 Instance Ram running in EMEA,20.0,europe-west1,6F81-5844-456A,F268-6CE7-AC16,0.06432,
memcached (Compute Engine),Balanced PD Capacity,10.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,1,
agent  (Compute Engine),E2 Instance Core running in EMEA,80.0,europe-west1,6F81-5844-456A,9FE0-8F60-A9F0,1.91947,
agent  (Compute Engine),E2 Instance Ram running in EMEA,320.0,europe-west1,6F81-5844-456A,F268-6CE7-AC16,1.02915,
agent  (Compute Engine),Balanced PD Capacity,10.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,1,
measure (Compute Engine),N2 Instance Core running in EMEA,20.0,europe-west1,6F81-5844-456A,9F61-45D7-D4FB,0.69546,
measure (Compute Engine),N2 Instance Ram running in EMEA,80.0,europe-west1,6F81-5844-456A,A109-54C1-7CB0,0.37288,
measure (Compute Engine),Balanced PD Capacity,10.0,europe-west1,6F81-5844-456A,6AE1-525F-8B80,1,
,,,,,,,
,,,,,Total Price:,9.62949,
,,,,,,,
"Prices are in US dollars, effective date is 2026-04-18T22:11:34.252Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJoWWpJNU5UVmlNeTAyTVRaaExUUmhaRFl0WWpCbE1TMDBNV0l5WlRjd09UTTBaVEVRQWc9PRokRDkyMkI0NEMtNEY0MC00MjE4LUIxODctNzQ5QTg4RERFMDMw,,,,,,
